Entrez.Gene,Symbol,metaZscore,metaPval,effect,Pval.adj,Bonferroni,maxFC,avgFC,BraakR,atrophyR
116496,FAM129A,5.539163962,3.04E-08,++?+++,4.74E-07,0.000715121,1.48,1.25,,
4076,CAPRIN1,-5.537657597,3.07E-08,--?---,4.78E-07,0.000721298,0.61,0.80,-0.6046,-0.4983
200230,,5.535794101,3.10E-08,???++?,4.82E-07,0.00072901,1.49,1.39,,
56924,PAK6,-5.533958651,3.13E-08,+-----,4.87E-07,0.000736684,0.76,0.90,,-0.5099
157567,ANKRD46,-5.533696123,3.14E-08,--?---,4.87E-07,0.000737788,0.56,0.81,,
5866,RAB3IL1,5.533689029,3.14E-08,?-++++,4.87E-07,0.000737818,1.42,1.17,0.6182,0.4992
79714,CCDC51,-5.533493261,3.14E-08,--?---,4.88E-07,0.000738642,0.71,0.87,,
5428,POLG,5.531807433,3.17E-08,+++++-,4.92E-07,0.000745778,1.45,1.12,,
84832,RP4-747L4.3,5.530361552,3.20E-08,???+++,4.96E-07,0.000751952,1.33,1.17,,
55176,SEC61A2,-5.52961663,3.21E-08,------,4.97E-07,0.000755152,0.66,0.85,-0.6038,-0.5148
23410,SIRT3,-5.5292691,3.22E-08,--?--+,4.98E-07,0.000756649,0.74,0.89,,-0.4993
165679,SPTSSB,-5.529143077,3.22E-08,--?---,4.98E-07,0.000757193,0.71,0.82,,
10634,GAS2L1,5.52909991,3.22E-08,++++++,4.98E-07,0.000757379,2.15,1.26,,
25945,PVRL3,-5.529093597,3.22E-08,--?---,4.98E-07,0.000757406,0.60,0.82,-0.6805,-0.5202
257194,NEGR1,-5.528016738,3.24E-08,--?---,5.00E-07,0.000762069,0.51,0.68,-0.6227,-0.5013
55061,SUSD4,-5.527229356,3.25E-08,--?---,5.02E-07,0.000765496,0.52,0.76,-0.6008,-0.5366
53,ACP2,-5.525352287,3.29E-08,------,5.07E-07,0.000773726,0.63,0.83,-0.6475,-0.5393
3250,HPR,5.524708976,3.30E-08,++?+++,5.09E-07,0.000776566,1.43,1.25,,
64432,MRPS25,-5.524608669,3.30E-08,--?---,5.09E-07,0.00077701,0.50,0.78,-0.7087,-0.5943
5445,PON2,5.524363935,3.31E-08,++++++,5.09E-07,0.000778093,2.34,1.32,,0.4807
55701,ARHGEF40,5.524118125,3.31E-08,++?++-,5.10E-07,0.000779183,3.56,1.42,,
4948,OCA2,-5.52364915,3.32E-08,--?---,5.11E-07,0.000781267,0.70,0.83,-0.6361,-0.5322
3911,LAMA5,5.523402729,3.32E-08,++++++,5.11E-07,0.000782364,1.72,1.21,0.6086,0.4923
339524,LOC339524,-5.523050277,3.33E-08,--?--?,5.12E-07,0.000783936,0.65,0.78,,
285431,,-5.522554541,3.34E-08,???--?,5.13E-07,0.000786152,0.92,0.94,,
5799,PTPRN2,-5.521032274,3.37E-08,--?---,5.17E-07,0.000792994,0.67,0.80,-0.6573,-0.5569
9416,DDX23,5.52035844,3.38E-08,-++++-,5.18E-07,0.000796041,1.27,1.04,,0.4897
154215,NKAIN2,-5.520285324,3.38E-08,------,5.18E-07,0.000796372,0.63,0.82,,
27067,STAU2,-5.517841964,3.43E-08,------,5.25E-07,0.000807521,0.46,0.79,-0.6035,-0.5128
10076,PTPRU,5.517743098,3.43E-08,?+?+++,5.25E-07,0.000807975,1.21,1.10,,
79443,FYCO1,5.516957586,3.45E-08,++++++,5.27E-07,0.000811594,2.39,1.31,0.6579,0.5367
283270,LOC283270,-5.516104504,3.47E-08,--?--?,5.30E-07,0.000815541,0.73,0.83,,
23671,TMEFF2,-5.515913907,3.47E-08,------,5.30E-07,0.000816425,0.67,0.83,,
10287,RGS19,5.515423821,3.48E-08,-+?+++,5.31E-07,0.000818704,1.20,1.10,,
40,ASIC2,-5.515178311,3.48E-08,------,5.31E-07,0.000819848,0.79,0.87,,
6827,SUPT4H1,-5.515082274,3.49E-08,------,5.31E-07,0.000820295,0.67,0.89,-0.6045,-0.5278
80349,WDR61,-5.514720889,3.49E-08,------,5.32E-07,0.000821983,0.55,0.82,-0.6009,-0.4709
140767,NRSN1,-5.513434507,3.52E-08,--?---,5.35E-07,0.000828016,0.55,0.70,-0.6986,-0.5838
